,lines
12975,"First came the two slaves (deaf and dumb, as Aravis rightly guessed, and therefore used at the most secret councils) walking backwards and carrying the candles."
12976,They took up their stand one at each end of the sofa.
12977,"This was a good thing, for of course it was now harder for anyone to see Aravis once a slave was in front of her and she was looking between his heels."
12978,"Then came an old man, very fat, wearing a curious pointed cap by which she immediately knew that he was the Tisroc."
12979,The least of the jewels with which he was covered was worth more than all the clothes and weapons of the Narnian lords put together: but he was so fat and such a mass of frills and pleats and bobbles and buttons and tassels and talismans that Aravis couldn't help thinking the Narnian fashions (at any rate for men) looked nicer.
12980,After him came a tall young man with a feathered and jewelled turban on his head and an ivory-sheathed scimitar at his side.
12981,He seemed very excited and his eyes and teeth flashed fiercely in the candlelight.
12982,"Last of all came a little hump-backed, wizened old man in whom she recognized with a shudder the new Grand Vizier and her own betrothed husband, Ahoshta Tarkaan himself."
12983,"As soon as all three had entered the room and the door was shut, the Tisroc seated himself on the divan with a sigh of contentment, the young man took his place, standing before him, and the Grand Vizier got down on his knees and elbows and laid his face flat on the carpet."
12984,"  CHAPTER EIGHT  IN THE HOUSE OF THE TISROC  OH-my-father-and-oh-the-delight-of-my-eyes, began the young man, muttering the words very quickly and sulkily and not at all as if the Tisroc were the delight of his eyes."
12985,"May you live for ever, but you have utterly destroyed me."
12986,If you had given me the swiftest of the galleys at sunrise when I first saw that the ship of the accursed barbarians was gone from her place I would perhaps have overtaken them.
12987,But you persuaded me to send first and see if they had not merely moved round the point into better anchorage.
12988,And now the whole day has been wasted.
12989,"And they are gone - gone - out of my reach! The false jade, the- and here he added a great many descriptions of Queen Susan which would not look at all nice in print."
12990,For of course this young man was Prince Rabadash and of course the false jade was Susan of Narnia.
12991,"Compose yourself, O my son, said the Tisroc."
12992,For the departure of guests makes a wound that is easily healed in the heart of a judicious host.
12993,"But I want her, cried the Prince."
12994,I must have her.
12995,"I shall die if I do not get her- false, proud, black-hearted daughter of a dog that she is! I cannot sleep and my food has no savour and my eyes are darkened because of her beauty."
12996,I must have the barbarian queen.
12997,"How well it was said by a gifted poet, observed the Vizier, raising his face (in a somewhat dusty condition) from the carpet, that deep draughts from the fountain of reason are desirable in order to extinguish the fire of youthful love."
12998,This seemed to exasperate the Prince.
12999,"Dog, he shouted, directing a series of well-aimed kicks at the hindquarters of the Vizier, do not dare to quote the poets to me."
13000,I have had maxims and verses flung at me all day and I can endure them no more.
13001,I am afraid Aravis did not feel at all sorry for the Vizier.
13002,"The Tisroc was apparently sunk in thought, but when, after a long pause, he noticed what was happening, he said tranquilly:  My son, by all means desist from kicking the venerable and enlightened Vizier: for as a costly jewel retains its value even if hidden in a dung-hill, so old age and discretion are to be respected even in the vile persons of our subjects."
13003,"Desist therefore, and tell us what you desire and propose."
13004,"I desire and propose, O my father, said Rabadash, that you immediately call out your invincible armies and invade the thrice-accursed land of Narnia and waste it with fire and sword and add it to your illimitable empire, killing their High King and all of his blood except the queen Susan."
13005,"For I must have her as my wife, though she shall learn a sharp lesson first."
13006,"Understand, O my son, said the Tisroc, that no words you can speak will move me to open war against Narnia."
13007,"If you were not my father, O ever-living Tisroc,  said the Prince, grinding his teeth, I should say that was the word of a coward."
13008,"And if you were not my son, O most inflammable Rabadash, replied his father, your life would be short and your death slow when you had said it."
13009,"(The cool, placid voice in which he spoke these words made Aravis's blood run cold."
13010,")  But why, O my father, said the Prince - this time in a much more respectful voice, why should we think twice about punishing Narnia any more than about hanging an idle slave or sending a worn-out horse to be made into dog'smeat? It is not the fourth size of one of your least provinces."
13011,A thousand spears could conquer it in five weeks.
13012,It is an unseemly blot on the skirts of your empire.
13013,"Most undoubtedly, said the Tisroc."
